Imagen,Cluster,IoU,Ruta de salida
00310_3,0,0.2166,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00310_3_cluster0_iou0.22.png
00587_4,9,0.1552,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00587_4_cluster9_iou0.16.png
00212_4,9,0.2232,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00212_4_cluster9_iou0.22.png
00128_2,4,0.2455,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00128_2_cluster4_iou0.25.png
00156_4,2,0.1218,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00156_4_cluster2_iou0.12.png
00229_2,8,0.5982,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00229_2_cluster8_iou0.60.png
00248_2,8,0.2009,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00248_2_cluster8_iou0.20.png
00257_4,5,0.3179,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00257_4_cluster5_iou0.32.png
00072_0,6,0.2698,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00072_0_cluster6_iou0.27.png
00054_3,3,0.31,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00054_3_cluster3_iou0.31.png
00011_3,4,0.1966,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00011_3_cluster4_iou0.20.png
00504_2,5,0.0452,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00504_2_cluster5_iou0.05.png
00485_3,7,0.2629,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00485_3_cluster7_iou0.26.png
00291_2,0,0.2293,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00291_2_cluster0_iou0.23.png
00567_1,8,0.1897,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00567_1_cluster8_iou0.19.png
00541_2,8,0.2146,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00541_2_cluster8_iou0.21.png
00522_1,1,0.4109,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00522_1_cluster1_iou0.41.png
00037_0,0,0.2159,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00037_0_cluster0_iou0.22.png
00277_1,6,0.2899,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00277_1_cluster6_iou0.29.png
00395_3,0,0.204,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00395_3_cluster0_iou0.20.png
00251_2,5,0.2525,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00251_2_cluster5_iou0.25.png
00214_2,6,0.3048,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00214_2_cluster6_iou0.30.png
00539_2,5,0.3159,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00539_2_cluster5_iou0.32.png
00069_3,4,0.1599,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00069_3_cluster4_iou0.16.png
00297_4,4,0.2401,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00297_4_cluster4_iou0.24.png
00133_1,5,0.1806,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00133_1_cluster5_iou0.18.png
00176_1,9,0.2091,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00176_1_cluster9_iou0.21.png
00190_2,0,0.3179,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00190_2_cluster0_iou0.32.png
00368_3,6,0.3634,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00368_3_cluster6_iou0.36.png
00400_3,4,0.3691,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00400_3_cluster4_iou0.37.png
00150_2,5,0.3627,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00150_2_cluster5_iou0.36.png
00445_3,9,0.2694,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00445_3_cluster9_iou0.27.png
00232_1,0,0.2606,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00232_1_cluster0_iou0.26.png
00581_2,3,0.1885,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00581_2_cluster3_iou0.19.png
00248_3,9,0.2099,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00248_3_cluster9_iou0.21.png
00426_0,2,0.0472,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00426_0_cluster2_iou0.05.png
00547_4,8,0.3055,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00547_4_cluster8_iou0.31.png
00463_0,8,0.1081,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00463_0_cluster8_iou0.11.png
00502_4,0,0.3981,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00502_4_cluster0_iou0.40.png
00196_4,3,0.1861,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00196_4_cluster3_iou0.19.png
00008_2,3,0.2819,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00008_2_cluster3_iou0.28.png
00115_2,2,0.2511,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00115_2_cluster2_iou0.25.png
00332_4,7,0.3397,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00332_4_cluster7_iou0.34.png
00113_4,9,0.3383,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00113_4_cluster9_iou0.34.png
00275_3,8,0.2832,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00275_3_cluster8_iou0.28.png
00377_4,2,0.2669,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00377_4_cluster2_iou0.27.png
00397_1,0,0.0539,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00397_1_cluster0_iou0.05.png
00230_3,9,0.1635,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00230_3_cluster9_iou0.16.png
00558_3,0,0.2842,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00558_3_cluster0_iou0.28.png
00309_2,0,0.3048,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00309_2_cluster0_iou0.30.png
00092_4,8,0.1511,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00092_4_cluster8_iou0.15.png
00033_4,5,0.1133,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00033_4_cluster5_iou0.11.png
00117_0,4,0.2972,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00117_0_cluster4_iou0.30.png
00583_0,4,0.1942,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00583_0_cluster4_iou0.19.png
00174_3,1,0.2562,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00174_3_cluster1_iou0.26.png
00402_1,5,0.192,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00402_1_cluster5_iou0.19.png
00447_1,5,0.6318,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00447_1_cluster5_iou0.63.png
00094_3,2,0.2577,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00094_3_cluster2_iou0.26.png
00152_0,6,0.2677,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00152_0_cluster6_iou0.27.png
00402_3,2,0.2005,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00402_3_cluster2_iou0.20.png
00461_2,6,0.4316,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00461_2_cluster6_iou0.43.png
00447_3,3,0.6277,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00447_3_cluster3_iou0.63.png
00288_3,8,0.2763,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00288_3_cluster8_iou0.28.png
00253_0,1,0.282,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00253_0_cluster1_iou0.28.png
00424_2,4,0.0866,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00424_2_cluster4_iou0.09.png
00131_3,7,0.1593,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00131_3_cluster7_iou0.16.png
00076_4,8,0.1725,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00076_4_cluster8_iou0.17.png
00194_4,6,0.1777,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00194_4_cluster6_iou0.18.png
00288_1,7,0.2718,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00288_1_cluster7_iou0.27.png
00545_4,5,0.2227,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00545_4_cluster5_iou0.22.png
00461_0,4,0.1122,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00461_0_cluster4_iou0.11.png
00500_4,5,0.0573,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00500_4_cluster5_iou0.06.png
00424_0,5,0.0987,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00424_0_cluster5_iou0.10.png
00309_0,0,0.3434,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00309_0_cluster0_iou0.34.png
00152_2,7,0.2269,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00152_2_cluster7_iou0.23.png
00397_3,8,0.056,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00397_3_cluster8_iou0.06.png
00117_2,6,0.2899,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00117_2_cluster6_iou0.29.png
00583_2,6,0.1807,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00583_2_cluster6_iou0.18.png
00174_1,9,0.2495,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00174_1_cluster9_iou0.25.png
00558_1,9,0.327,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00558_1_cluster9_iou0.33.png
00008_0,4,0.2684,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00008_0_cluster4_iou0.27.png
00295_4,3,0.2289,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00295_4_cluster3_iou0.23.png
00131_1,9,0.1471,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00131_1_cluster9_iou0.15.png
00169_4,8,0.2046,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00169_4_cluster8_iou0.20.png
00230_1,0,0.1695,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00230_1_cluster0_iou0.17.png
00275_1,9,0.2969,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00275_1_cluster9_iou0.30.png
00388_4,7,0.5034,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00388_4_cluster7_iou0.50.png
00400_1,1,0.351,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00400_1_cluster1_iou0.35.png
00445_1,3,0.2822,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00445_1_cluster3_iou0.28.png
00463_2,0,0.2281,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00463_2_cluster0_iou0.23.png
00426_2,3,0.0437,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00426_2_cluster3_iou0.04.png
00189_3,9,0.0946,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00189_3_cluster9_iou0.09.png
00176_3,2,0.2057,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00176_3_cluster2_iou0.21.png
00133_3,8,0.1784,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00133_3_cluster8_iou0.18.png
00253_2,1,0.2801,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00253_2_cluster1_iou0.28.png
00268_4,8,0.1952,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00268_4_cluster8_iou0.20.png
00216_0,4,0.1916,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00216_0_cluster4_iou0.19.png
00074_4,3,0.0118,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00074_4_cluster3_iou0.01.png
